Year	Commodity	Volume	County	State	Product
2005		0		MO	Natural Gas (MMcf)
2005		1201		NE	Natural Gas (MMcf)
2005		5		NV	Natural Gas (MMcf)
2005		55180		NY	Natural Gas (MMcf)
2005		454		OR	Natural Gas (MMcf)
2005		11349		SD	Natural Gas (MMcf)
2005		2200		TN	Natural Gas (MMcf)
2005		88610		VA	Natural Gas (MMcf)
2006		306144		AL	Natural Gas (MMcf)
2006		611		AZ	Natural Gas (MMcf)
2006		2845		FL	Natural Gas (MMcf)
2006		170		IL	Natural Gas (MMcf)
2006		2921		IN	Natural Gas (MMcf)
2006		95320		KY	Natural Gas (MMcf)
2006		48		MD	Natural Gas (MMcf)
2006		268673		MI	Natural Gas (MMcf)
2006		212081		MS	Natural Gas (MMcf)
2006		0		MO	Natural Gas (MMcf)
2006		1217		NE	Natural Gas (MMcf)
2006		5		NV	Natural Gas (MMcf)
2006		55980		NY	Natural Gas (MMcf)
2006		621		OR	Natural Gas (MMcf)
2006		10616		SD	Natural Gas (MMcf)
2006		2663		TN	Natural Gas (MMcf)
2006		103027		VA	Natural Gas (MMcf)
2007		289618		AL	Natural Gas (MMcf)
2007		655		AZ	Natural Gas (MMcf)
2007		2000		FL	Natural Gas (MMcf)
2007		1394		IL	Natural Gas (MMcf)
2007		3606		IN	Natural Gas (MMcf)
2007		95437		KY	Natural Gas (MMcf)
2007		35		MD	Natural Gas (MMcf)
2007		270571		MI	Natural Gas (MMcf)
2007		272878		MS	Natural Gas (MMcf)
2007		0		MO	Natural Gas (MMcf)
2007		1560		NE	Natural Gas (MMcf)
2007		5		NV	Natural Gas (MMcf)
2007		54942		NY	Natural Gas (MMcf)
2007		409		OR	Natural Gas (MMcf)
2007		11880		SD	Natural Gas (MMcf)
2007		3942		TN	Natural Gas (MMcf)
2007		112057		VA	Natural Gas (MMcf)
2008		277553		AL	Natural Gas (MMcf)
2008		523		AZ	Natural Gas (MMcf)
2008		2742		FL	Natural Gas (MMcf)
2008		1193		IL	Natural Gas (MMcf)
2008		4701		IN	Natural Gas (MMcf)
2008		114116		KY	Natural Gas (MMcf)
2008		28		MD	Natural Gas (MMcf)
2008		158794		MI	Natural Gas (MMcf)
2008		346465		MS	Natural Gas (MMcf)
2008		0		MO	Natural Gas (MMcf)
2008		3083		NE	Natural Gas (MMcf)
2008		4		NV	Natural Gas (MMcf)
2008		50320		NY	Natural Gas (MMcf)
2008		778		OR	Natural Gas (MMcf)
2008		12007		SD	Natural Gas (MMcf)
2008		4700		TN	Natural Gas (MMcf)
2008		128454		VA	Natural Gas (MMcf)
2009		255965		AL	Natural Gas (MMcf)
2009		712		AZ	Natural Gas (MMcf)
2009		290		FL	Natural Gas (MMcf)
2009		1443		IL	Natural Gas (MMcf)
2009		4927		IN	Natural Gas (MMcf)
2009		113300		KY	Natural Gas (MMcf)
2009		43		MD	Natural Gas (MMcf)
2009		159400		MI	Natural Gas (MMcf)
2009		352888		MS	Natural Gas (MMcf)
2009		0		MO	Natural Gas (MMcf)
2009		2916		NE	Natural Gas (MMcf)
2009		4		NV	Natural Gas (MMcf)
2009		44849		NY	Natural Gas (MMcf)
2009		821		OR	Natural Gas (MMcf)
2009		12927		SD	Natural Gas (MMcf)
2009		5478		TN	Natural Gas (MMcf)
2009		140738		VA	Natural Gas (MMcf)
2010		240703		AL	Natural Gas (MMcf)
2010		183		AZ	Natural Gas (MMcf)
2010		13938		FL	Natural Gas (MMcf)
2010		1702		IL	Natural Gas (MMcf)
2010		6802		IN	Natural Gas (MMcf)
2010		135330		KY	Natural Gas (MMcf)
2010		43		MD	Natural Gas (MMcf)
2010		136782		MI	Natural Gas (MMcf)
2010		401660		MS	Natural Gas (MMcf)
2010		0		MO	Natural Gas (MMcf)
2010		2255		NE	Natural Gas (MMcf)
2010		4		NV	Natural Gas (MMcf)
2010		35813		NY	Natural Gas (MMcf)
2010		1407		OR	Natural Gas (MMcf)
2010		12540		SD	Natural Gas (MMcf)
2010		5144		TN	Natural Gas (MMcf)
2010		147255		VA	Natural Gas (MMcf)
2011		218574		AL	Natural Gas (MMcf)
2011		168		AZ	Natural Gas (MMcf)
2011		17129		FL	Natural Gas (MMcf)
2011		2121		IL	Natural Gas (MMcf)
2011		9075		IN	Natural Gas (MMcf)
2011		124243		KY	Natural Gas (MMcf)
2011		34		MD	Natural Gas (MMcf)
2011		143826		MI	Natural Gas (MMcf)
2011		443351		MS	Natural Gas (MMcf)
2011		0		MO	Natural Gas (MMcf)
2011		1980		NE	Natural Gas (MMcf)
2011		3		NV	Natural Gas (MMcf)
2011		31124		NY	Natural Gas (MMcf)
2011		1344		OR	Natural Gas (MMcf)
2011		12449		SD	Natural Gas (MMcf)
2011		4851		TN	Natural Gas (MMcf)
2011		151094		VA	Natural Gas (MMcf)
2012		215710		AL	Natural Gas (MMcf)
2012		117		AZ	Natural Gas (MMcf)
2012		18681		FL	Natural Gas (MMcf)
2012		2125		IL	Natural Gas (MMcf)
2012		8814		IN	Natural Gas (MMcf)
2012		106122		KY	Natural Gas (MMcf)
2012		44		MD	Natural Gas (MMcf)
2012		129333		MI	Natural Gas (MMcf)
2012		452915		MS	Natural Gas (MMcf)
2012		0		MO	Natural Gas (MMcf)
2012		1328		NE	Natural Gas (MMcf)
2012		4		NV	Natural Gas (MMcf)
2012		26424		NY	Natural Gas (MMcf)
2012		770		OR	Natural Gas (MMcf)
2012		15085		SD	Natural Gas (MMcf)
2012		5825		TN	Natural Gas (MMcf)
2012		146405		VA	Natural Gas (MMcf)
2013		196326		AL	Natural Gas (MMcf)
2013		72		AZ	Natural Gas (MMcf)
2013		18011		FL	Natural Gas (MMcf)
2013		2887		IL	Natural Gas (MMcf)
2013		7938		IN	Natural Gas (MMcf)
2013		94665		KY	Natural Gas (MMcf)
2013		32		MD	Natural Gas (MMcf)
2013		123622		MI	Natural Gas (MMcf)
2013		59272		MS	Natural Gas (MMcf)
2013		9		MO	Natural Gas (MMcf)
2013		1032		NE	Natural Gas (MMcf)
2013		3		NV	Natural Gas (MMcf)
2013		23458		NY	Natural Gas (MMcf)
2013		770		OR	Natural Gas (MMcf)
2013		16205		SD	Natural Gas (MMcf)
2013		5400		TN	Natural Gas (MMcf)
2013		139382		VA	Natural Gas (MMcf)
2004		2904000		FL	Crude Oil (bbl)
2004		170000		NY	Crude Oil (bbl)
2004		2396000		PA	Crude Oil (bbl)
2004		19000		VA	Crude Oil (bbl)
2004		1735000		WV	Crude Oil (bbl)
2004		10984000		IL	Crude Oil (bbl)
2004		1755000		IN	Crude Oil (bbl)
2004		33879000		KS	Crude Oil (bbl)
2004		2548000		KY	Crude Oil (bbl)
2004		5951000		MI	Crude Oil (bbl)
2004		88000		MO	Crude Oil (bbl)
2004		2506000		NE	Crude Oil (bbl)
2004		31152000		ND	Crude Oil (bbl)
2004		5783000		OH	Crude Oil (bbl)
2004		63977000		OK	Crude Oil (bbl)
2004		1357000		SD	Crude Oil (bbl)
2004		361000		TN	Crude Oil (bbl)
2004		7443000		AL	Crude Oil (bbl)
2004		6747000		AR	Crude Oil (bbl)
2004		83272000		LA	Crude Oil (bbl)
2004		19242000		MS	Crude Oil (bbl)
2004		64517000		NM	Crude Oil (bbl)
2004		392714000		TX	Crude Oil (bbl)
2004		535355000		gulf	Crude Oil (bbl)
2004		22532000		CO	Crude Oil (bbl)
2004		24718000		MT	Crude Oil (bbl)
2004		14744000		UT	Crude Oil (bbl)
2004		51940000		WY	Crude Oil (bbl)
2004		332441000		AK	Crude Oil (bbl)
2004		54000		AZ	Crude Oil (bbl)
2004		240138000		CA	Crude Oil (bbl)
2004		463000		NV	Crude Oil (bbl)
2004		27509000		pacific alaska	Crude Oil (bbl)
2005		2585000		FL	Crude Oil (bbl)
2005		202000		NY	Crude Oil (bbl)
2005		2460000		PA	Crude Oil (bbl)
2005		26000		VA	Crude Oil (bbl)
2005		1696000		WV	Crude Oil (bbl)
2005		10207000		IL	Crude Oil (bbl)
2005		1727000		IN	Crude Oil (bbl)
2005		33620000		KS	Crude Oil (bbl)
2005		2535000		KY	Crude Oil (bbl)
2005		5734000		MI	Crude Oil (bbl)
2005		86000		MO	Crude Oil (bbl)
2005		2408000		NE	Crude Oil (bbl)
2005		35675000		ND	Crude Oil (bbl)
2005		5658000		OH	Crude Oil (bbl)
2005		61262000		OK	Crude Oil (bbl)
2005		1394000		SD	Crude Oil (bbl)
2005		324000		TN	Crude Oil (bbl)
2005		7861000		AL	Crude Oil (bbl)
2005		6175000		AR	Crude Oil (bbl)
2005		75199000		LA	Crude Oil (bbl)
2005		17695000		MS	Crude Oil (bbl)
2005		60963000		NM	Crude Oil (bbl)
2005		392601000		TX	Crude Oil (bbl)
2005		466926000		gulf	Crude Oil (bbl)
2005		23227000		CO	Crude Oil (bbl)
2005		32787000		MT	Crude Oil (bbl)
2005		16673000		UT	Crude Oil (bbl)
2005		51770000		WY	Crude Oil (bbl)
2005		315387000		AK	Crude Oil (bbl)
2005		50000		AZ	Crude Oil (bbl)
2005		230230000		CA	Crude Oil (bbl)
2005		447000		NV	Crude Oil (bbl)
2005		26507000		pacific alaska	Crude Oil (bbl)
2006		2360000		FL	Crude Oil (bbl)
2006		312000		NY	Crude Oil (bbl)
2006		2589000		PA	Crude Oil (bbl)
2006		17000		VA	Crude Oil (bbl)
2006		1726000		WV	Crude Oil (bbl)
2006		10325000		IL	Crude Oil (bbl)
2006		1773000		IN	Crude Oil (bbl)
2006		35668000		KS	Crude Oil (bbl)
2006		2340000		KY	Crude Oil (bbl)
2006		5828000		MI	Crude Oil (bbl)
2006		87000		MO	Crude Oil (bbl)
2006		2313000		NE	Crude Oil (bbl)
2006		39943000		ND	Crude Oil (bbl)
2006		5439000		OH	Crude Oil (bbl)
2006		64236000		OK	Crude Oil (bbl)
2006		1389000		SD	Crude Oil (bbl)
2006		192000		TN	Crude Oil (bbl)
2006		7539000		AL	Crude Oil (bbl)
2006		5948000		AR	Crude Oil (bbl)
2006		73621000		LA	Crude Oil (bbl)
2006		17356000		MS	Crude Oil (bbl)
2006		59452000		NM	Crude Oil (bbl)
2006		392481000		TX	Crude Oil (bbl)
2006		472017000		gulf	Crude Oil (bbl)
2006		24494000		CO	Crude Oil (bbl)
2006		36294000		MT	Crude Oil (bbl)
2006		17927000		UT	Crude Oil (bbl)
2006		52974000		WY	Crude Oil (bbl)
2006		270481000		AK	Crude Oil (bbl)
2006		55000		AZ	Crude Oil (bbl)
2006		223015000		CA	Crude Oil (bbl)
2006		426000		NV	Crude Oil (bbl)
2006		25987000		pacific alaska	Crude Oil (bbl)
2007		2078000		FL	Crude Oil (bbl)
2007		379000		NY	Crude Oil (bbl)
2007		2788000		PA	Crude Oil (bbl)
2007		19000		VA	Crude Oil (bbl)
2007		1992000		WV	Crude Oil (bbl)
2007		9608000		IL	Crude Oil (bbl)
2007		1727000		IN	Crude Oil (bbl)
2007		36590000		KS	Crude Oil (bbl)
2007		2666000		KY	Crude Oil (bbl)
2007		5646000		MI	Crude Oil (bbl)
2007		80000		MO	Crude Oil (bbl)
2007		2335000		NE	Crude Oil (bbl)
2007		45122000		ND	Crude Oil (bbl)
2007		5155000		OH	Crude Oil (bbl)
2007		63951000		OK	Crude Oil (bbl)
2007		1632000		SD	Crude Oil (bbl)
2007		284000		TN	Crude Oil (bbl)
2007		7171000		AL	Crude Oil (bbl)
2007		6031000		AR	Crude Oil (bbl)
2007		76979000		LA	Crude Oil (bbl)
2007		20672000		MS	Crude Oil (bbl)
2007		59179000		NM	Crude Oil (bbl)
2007		391270000		TX	Crude Oil (bbl)
2007		467971000		gulf	Crude Oil (bbl)
2007		26172000		CO	Crude Oil (bbl)
2007		34907000		MT	Crude Oil (bbl)
2007		19535000		UT	Crude Oil (bbl)
2007		54116000		WY	Crude Oil (bbl)
2007		263595000		AK	Crude Oil (bbl)
2007		43000		AZ	Crude Oil (bbl)
2007		218518000		CA	Crude Oil (bbl)
2007		408000		NV	Crude Oil (bbl)
2007		24624000		pacific alaska	Crude Oil (bbl)
2008		1953000		FL	Crude Oil (bbl)
2008		387000		NY	Crude Oil (bbl)
2008		2999000		PA	Crude Oil (bbl)
2008		16000		VA	Crude Oil (bbl)
2008		2126000		WV	Crude Oil (bbl)
2008		9448000		IL	Crude Oil (bbl)
2008		1859000		IN	Crude Oil (bbl)
2008		39663000		KS	Crude Oil (bbl)
2008		2645000		KY	Crude Oil (bbl)
2008		6271000		MI	Crude Oil (bbl)
2008		99000		MO	Crude Oil (bbl)
2008		2394000		NE	Crude Oil (bbl)
2008		62780000		ND	Crude Oil (bbl)
2008		5113000		OH	Crude Oil (bbl)
2008		67357000		OK	Crude Oil (bbl)
2008		1713000		SD	Crude Oil (bbl)
2008		338000		TN	Crude Oil (bbl)
2008		7696000		AL	Crude Oil (bbl)
2008		6079000		AR	Crude Oil (bbl)
2008		72353000		LA	Crude Oil (bbl)
2008		22104000		MS	Crude Oil (bbl)
2008		60156000		NM	Crude Oil (bbl)
2008		406007000		TX	Crude Oil (bbl)
2008		423326000		gulf	Crude Oil (bbl)
2008		29928000		CO	Crude Oil (bbl)
2008		31596000		MT	Crude Oil (bbl)
2008		22041000		UT	Crude Oil (bbl)
2008		53045000		WY	Crude Oil (bbl)
2008		249874000		AK	Crude Oil (bbl)
2008		52000		AZ	Crude Oil (bbl)
2008		214533000		CA	Crude Oil (bbl)
2008		436000		NV	Crude Oil (bbl)
2008		24029000		pacific alaska	Crude Oil (bbl)
2009		696000		FL	Crude Oil (bbl)
2009		333000		NY	Crude Oil (bbl)
2009		2967000		PA	Crude Oil (bbl)
2009		11000		VA	Crude Oil (bbl)
2009		1501000		WV	Crude Oil (bbl)
2009		9097000		IL	Crude Oil (bbl)
2009		1803000		IN	Crude Oil (bbl)
2009		39466000		KS	Crude Oil (bbl)
2009		2609000		KY	Crude Oil (bbl)
2009		6223000		MI	Crude Oil (bbl)
2009		106000		MO	Crude Oil (bbl)
2009		2239000		NE	Crude Oil (bbl)
2009		79728000		ND	Crude Oil (bbl)
2009		4877000		OH	Crude Oil (bbl)
2009		66637000		OK	Crude Oil (bbl)
2009		1676000		SD	Crude Oil (bbl)
2009		268000		TN	Crude Oil (bbl)
2009		7189000		AL	Crude Oil (bbl)
2009		5755000		AR	Crude Oil (bbl)
2009		68824000		LA	Crude Oil (bbl)
2009		23232000		MS	Crude Oil (bbl)
2009		61156000		NM	Crude Oil (bbl)
2009		399344000		TX	Crude Oil (bbl)
2009		570302000		gulf	Crude Oil (bbl)
2009		30350000		CO	Crude Oil (bbl)
2009		27835000		MT	Crude Oil (bbl)
2009		22943000		UT	Crude Oil (bbl)
2009		51533000		WY	Crude Oil (bbl)
2009		235491000		AK	Crude Oil (bbl)
2009		46000		AZ	Crude Oil (bbl)
2009		207262000		CA	Crude Oil (bbl)
2009		438000		NV	Crude Oil (bbl)
2009		22306000		pacific alaska	Crude Oil (bbl)
2010		1777000		FL	Crude Oil (bbl)
2010		381000		NY	Crude Oil (bbl)
2010		3236000		PA	Crude Oil (bbl)
2010		12000		VA	Crude Oil (bbl)
2010		1842000		WV	Crude Oil (bbl)
2010		9067000		IL	Crude Oil (bbl)
2010		1835000		IN	Crude Oil (bbl)
2010		40468000		KS	Crude Oil (bbl)
2010		2519000		KY	Crude Oil (bbl)
2010		6943000		MI	Crude Oil (bbl)
2010		146000		MO	Crude Oil (bbl)
2010		2331000		NE	Crude Oil (bbl)
2010		113064000		ND	Crude Oil (bbl)
2010		4769000		OH	Crude Oil (bbl)
2010		67418000		OK	Crude Oil (bbl)
2010		1604000		SD	Crude Oil (bbl)
2010		257000		TN	Crude Oil (bbl)
2010		7155000		AL	Crude Oil (bbl)
2010		5733000		AR	Crude Oil (bbl)
2010		67280000		LA	Crude Oil (bbl)
2010		24080000		MS	Crude Oil (bbl)
2010		65373000		NM	Crude Oil (bbl)
2010		426666000		TX	Crude Oil (bbl)
2010		566626000		gulf	Crude Oil (bbl)
2010		32976000		CO	Crude Oil (bbl)
2010		25332000		MT	Crude Oil (bbl)
2010		24674000		UT	Crude Oil (bbl)
2010		53891000		WY	Crude Oil (bbl)
2010		218904000		AK	Crude Oil (bbl)
2010		40000		AZ	Crude Oil (bbl)
2010		200050000		CA	Crude Oil (bbl)
2010		426000		NV	Crude Oil (bbl)
2010		21708000		pacific alaska	Crude Oil (bbl)
2011		2023000		FL	Crude Oil (bbl)
2011		375000		NY	Crude Oil (bbl)
2011		3463000		PA	Crude Oil (bbl)
2011		11000		VA	Crude Oil (bbl)
2011		2146000		WV	Crude Oil (bbl)
2011		9158000		IL	Crude Oil (bbl)
2011		1987000		IN	Crude Oil (bbl)
2011		41507000		KS	Crude Oil (bbl)
2011		2326000		KY	Crude Oil (bbl)
2011		7012000		MI	Crude Oil (bbl)
2011		118000		MO	Crude Oil (bbl)
2011		2544000		NE	Crude Oil (bbl)
2011		153015000		ND	Crude Oil (bbl)
2011		4654000		OH	Crude Oil (bbl)
2011		73423000		OK	Crude Oil (bbl)
2011		1625000		SD	Crude Oil (bbl)
2011		296000		TN	Crude Oil (bbl)
2011		8373000		AL	Crude Oil (bbl)
2011		5877000		AR	Crude Oil (bbl)
2011		68965000		LA	Crude Oil (bbl)
2011		24246000		MS	Crude Oil (bbl)
2011		71249000		NM	Crude Oil (bbl)
2011		528844000		TX	Crude Oil (bbl)
2011		480701000		gulf	Crude Oil (bbl)
2011		39430000		CO	Crude Oil (bbl)
2011		24155000		MT	Crude Oil (bbl)
2011		26331000		UT	Crude Oil (bbl)
2011		54670000		WY	Crude Oil (bbl)
2011		204829000		AK	Crude Oil (bbl)
2011		37000		AZ	Crude Oil (bbl)
2011		193996000		CA	Crude Oil (bbl)
2011		408000		NV	Crude Oil (bbl)
2011		19817000		pacific alaska	Crude Oil (bbl)
2012		2135000		FL	Crude Oil (bbl)
2012		362000		NY	Crude Oil (bbl)
2012		4304000		PA	Crude Oil (bbl)
2012		9000		VA	Crude Oil (bbl)
2012		2573000		WV	Crude Oil (bbl)
2012		8908000		IL	Crude Oil (bbl)
2012		2350000		IN	Crude Oil (bbl)
2012		43743000		KS	Crude Oil (bbl)
2012		3198000		KY	Crude Oil (bbl)
2012		7426000		MI	Crude Oil (bbl)
2012		175000		MO	Crude Oil (bbl)
2012		3025000		NE	Crude Oil (bbl)
2012		243236000		ND	Crude Oil (bbl)
2012		5109000		OH	Crude Oil (bbl)
2012		87538000		OK	Crude Oil (bbl)
2012		1756000		SD	Crude Oil (bbl)
2012		371000		TN	Crude Oil (bbl)
